Empresa;Aplicação;Entrevista;Resposta;Vaga;Etapa Gupy;Remoto;Senioridade;Data Submissão;Data entrevista;Data Resposta;Data Visualização;
Spassu Tecnologia;Gupy;Não;N/A;Pessoa Desenvolvedora Python;Cadastro;Sim;N/A;31/12/2021;N/A;N/A;N/A;
Clicksign;Kenoby;Não;Genérica;Data Scientist;Testes;Sim;N/A;01/01/2022;N/A;22/02/2022;01/01/2022;
ParentsIN;LinkedIn;Não;N/A;Developer Junior | Python | Machine Learning;N/A;Sim;N/A;01/01/2022;N/A;N/A;N/A;
VEGA I.T;LinkedIn;Não;Genérica;Desenvolvedor Chatbot (Part or Full Time);N/A;Sim;N/A;01/01/2022;N/A;06/01/2022;03/01/2022;
Amplifica Digital;Site;Não;N/A;Cientista de Dados Júnior;N/A;Sim;Júnior;02/01/2022;N/A;N/A;N/A;
Ambizzion IT;LinkedIn;Não;N/A;Python Developer;N/A;Sim;N/A;02/01/2022;N/A;N/A;N/A;
Virtualmind;Site;Não;N/A;Senior Python Developer;N/A;Sim;Senior;02/01/2022;N/A;N/A;N/A;
BettrAds;LinkedIn;Não;N/A;Python Backend Developer;N/A;Sim;N/A;02/01/2022;N/A;N/A;03/01/2022;
Vaultree;LinkedIn;Não;N/A;Junior Developer Evangelist;N/A;Sim;Júnior;02/01/2022;N/A;N/A;N/A;
Artefact;LinkedIn;Não;N/A;Junior Data Scientist - São Paulo;N/A;Sim;Júnior;02/01/2022;N/A;N/A;N/A;
Open Co;LinkedIn;Não;N/A;Analista de Suporte N2;N/A;Sim;N/A;02/01/2022;N/A;N/A;N/A;
Rei do Pitaco;Kenoby;Não;Genérica;Analista de Suporte N1 Júnior;N/A;Sim;Júnior;02/01/2022;N/A;14/01/2022;02/01/2022;
WildLife;Site;Não;N/A;Game Designer;N/A;Sim;N/A;02/01/2022;N/A;N/A;02/01/2022;
Aquiris Gama Studio (linkedin / workable);LinkedIn;Não;Genérica;Technical Game Designer;N/A;Sim;N/A;02/01/2022;N/A;12/01/2022;N/A;
Oktagon;Site (Jobs);Não;N/A;Game Tester (Quality Assurance);N/A;Sim;N/A;02/01/2022;N/A;N/A;N/A;
Grrupo Tapps Games / Tapps Ventures;Kenoby;Não;N/A;Vaga Game Producer;N/A;Sim;N/A;02/01/2022;N/A;N/A;N/A;
